attendance_id,student_id,school_year,days_enrolled,days_present,days_absent,attendance_rate
A001,1001,2025-2026,120,116,4,96.67
A002,1002,2025-2026,120,110,10,91.67
A003,1003,2025-2026,120,118,2,98.33
A004,1004,2025-2026,120,112,8,93.33
A005,1005,2025-2026,120,108,12,90.00
A006,1006,2025-2026,60,51,9,85.00
A007,1007,2025-2026,120,119,1,99.17
A008,1008,2025-2026,120,115,5,95.83
A009,1009,2025-2026,85,70,15,82.35
A010,1010,2025-2026,120,114,6,95.00
A011,1011,2025-2026,120,117,3,97.50
A012,1012,2025-2026,120,109,11,90.83
A013,1013,2025-2026,120,120,0,100.00
A014,1014,2025-2026,120,101,19,84.17
A015,1015,2025-2026,120,113,7,94.17
