enrollment_id,student_id,school_year,entry_date,exit_date,exit_code,grade_level,enrollment_status
E001,1001,2025-2026,2025-08-12,,,9,Active
E002,1002,2025-2026,2025-08-12,,,10,Active
E003,1003,2025-2026,2025-08-12,,,11,Active
E004,1004,2025-2026,2025-08-12,,,12,Active
E005,1005,2025-2026,2025-08-12,,,12,Active
E006,1006,2025-2026,2025-08-12,2025-11-03,,9,Inactive
E007,1007,2025-2026,2025-08-12,,,10,Active
E008,1008,2025-2026,2025-08-12,,,11,Active
E009,1009,2025-2026,2025-08-12,2026-01-15,T160,12,Inactive
E010,1010,2025-2026,2025-08-12,,,9,Active
E011,1011,2025-2026,2025-08-12,,,10,Active
E012,1012,2025-2026,2025-08-12,,,11,Active
E013,1013,2025-2026,2025-08-12,,,12,Active
E014,1014,2025-2026,2025-08-12,,,12,Active
E015,1015,2025-2026,2025-08-12,,,12,Active
E016,1016,2025-2026,2025-09-01,,,13,Active
